ID;Javascript, Typescript;"Angular
";"MFE (micro frontend)
";HTML, CSS;Configuração e mudança;Disciplinas de Suporte ao Desenvolvimento;Ciclo de vida de software (build, teste e deploy);C++, C# e .NET;"COBOL
";"ABAP E/OU SAP FIORI
";"SAP - FUNCIONAL
";JAVA;Desenvolvimento Android;"Desenvolvimento IOS
";"Desenvolvimento Flutter
";Outras tecnologias cross plataform - Mobile ;Planejamento e produção de sistemas, serviços, produtos, sites e softwares;"Projeto de arquiteturas de integração e segurança
";"Revisão de arquiteturas, diagnosticar problemas e otimizar soluções
";Elaboração de diagramas e fluxos utilizando notação BPMN, UML e Archimate e C4 Model;Definição de soluções de TI a partir de necessidades de negócio e jornadas do cliente;Definição da estrutura e o design dos sistemas de software, levando em consideração os requisitos de negócios, as restrições técnicas e as metas de desempenho;"Prática em implementação eficiente e correta das soluções arquiteturais
";"Revisões e verificações técnicas quanto a conformidade com os padrões e diretrizes de arquitetura de solução
";Avaliação de novas tecnologias e ferramentas que possam melhorar a arquitetura e o desempenho dos sistemas existentes;Testes de Software Funcionais (Metodologia, técnicas, ferramentas);"Geração de massa de dados para testes (Criação, manutenção e reuso)
";"Modelagem de dados (Banco de Dados, SQL)
";Testes de Performance;Automação de Testes com uso de técnicas de mercado (BDD, TDD);Ferramentas de segurança de aplicações como SAST, DAST e SCA;"Gestão de vulnerabilidades visando mitigiar risco de exploração das falhas de segurança
";Estratégias de segurança para aplicações no ciclo DevSecOps;Segurança de software e desenvolvimento seguro ;Arquitetura e Design Seguro de SW;Boas práticas de arquitetura de nuvem;"Definição de arquitetura utilizando a Azure Cloud
";"Gestão Financeira da Nuvem (FinOps)
";DevSecOps e SRE (Site Reliability Engineering);Definição de arquitetura utilizando Container e Kubernetes;"Configuração e mudança - DevSecOps 
";"Integração contínua, entrega contínua e pipelines
";Ferramentas de automação (Ansible, Terraform, bash/shell script);Construção e manutenção dos modelos conceituais, lógicos e físicos de dados;Metadados e Glossários de Termos e Naturezas;Conhecimento em linguagem SQL;"Experiência em algum sistema gerenciador de banco de dados e seus utilitários
";"Elaboração de soluções quanto a implementação com utilização de um SGBD
";Análise de performance em SGBD;Modelagem multidimensional;Análise de dados de maneira crítica com identificação de padrões e tendências importantes;"Visualizações de dados, com visão crítica e domínio técnico, para subsidiar as tomadas de decisões
";Preparação de dados para análise  (manipulação e limpeza de dados);Processo de pesquisa e validação de hipóteses e comunicação de conclusão e cenário de dados;"Estatística e modelagem matemática
";Elaboração de modelos preditivos;Construção de Machine learning;"Manipulação, integração e transformação de dados
";Data pipelines;Gestão e governança de dados;"Inteligência de Dados
";Ágil Escalado;"Gestão Lean e Liderança Ágil
";Métricas Ágeis;Técnicas de facilitação;Métodos ágeis;Gestão de fluxo;Engenharia de software;Engenharia de Software - Ciclo de vida;"Configuração e mudança - Básico
";Gestão de Produto e de Backlog;Fundamentos de Design ;"Pesquisa com usuários
";"Ferramentas de prototipação (ex: Figma)
";Validação com o usuário;Métricas em UX ;Regulamento de Licitações e Contratos - RLC - Lei 13.303/2016;Políticas de relacionamento com fornecedores ;Elaboração de textos, pareceres técnicos, votos e normas internas;Ferramentas de gestão de contratos e faturamento no âmbito da TI;Procedimentos e fluxos de notificação , ressarcimento e multas de contratos;"Liderança e Management 3.0
";Gestão de Times e Pessoas;Governança Corporativa e Compliance ;Desenvolvimento de Competências;Gestão de Serviços, Projetos. Processos e Recursos de TI.;Ferramentas de Gestão - contexto Soluções de TI;Gestão Administrativa;Soluções de Acessibilidade
59;0;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;2;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
60;0;0;0;0;1;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;1;2;0;0;3;2;3;1;0;2;0;3;3;3;2;3;2;1;1;3;2;2;2;0
61;0;0;0;0;1;2;0;0;3;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;2;2;2;2;3;3;3;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;1
63;1;0;1;1;2;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;2;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
64;2;1;1;2;2;1;2;1;1;0;0;3;2;1;1;2;0;0;0;1;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;1;0;0;1;1;1;1;2;0;2;1;1;0;0;1;0;2;0;1;0;0;1;0;0;0;0;2;1;1;3;3;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;3;2;0;0;2;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0
66;2;2;2;2;3;3;3;3;1;1;1;3;1;1;1;1;3;3;3;2;3;3;2;3;3;2;2;3;2;2;2;2;2;2;2;3;2;1;1;2;3;3;1;3;1;3;3;3;3;2;3;3;3;2;2;1;0;2;2;2;2;2;3;2;2;2;2;3;3;3;3;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;0
67;0;0;0;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;1;1;1;1;1;2;1;2;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0
68;1;1;0;2;2;2;2;1;0;0;0;1;0;0;0;0;1;0;0;2;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;1;1;1;1;0;1;2;2;2;2;2;2;2;3;3;3;0;0;0;0;0;0;0;0;0;0;3;3;2;2;2;3;0;0
69;3;3;3;3;3;3;3;1;1;1;1;3;3;1;1;3;3;3;3;3;3;3;3;3;3;1;2;3;1;2;1;1;1;2;1;2;2;1;1;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;1;3;3;3;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0
70;3;3;3;3;2;2;2;1;1;1;1;2;1;1;1;1;3;1;2;1;3;2;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;3;3;3;3;2;1;0;1;3;3;3;3;3;0;0;0;2;0;2;2;1;0;1;1;0;2
71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;0;1;1;0;1;1;1;1;1;2;0
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;2;2;2;2;1;2;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1
73;1;0;0;1;2;2;2;1;0;0;0;0;0;0;0;0;2;0;1;2;2;2;0;0;0;2;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;0;1;1;1;1;2;2;2;2;1;2;0;0
74;1;1;1;1;2;2;2;2;1;1;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;2;0;0
76;3;1;1;3;2;2;3;1;1;3;1;2;1;1;1;1;2;2;2;1;2;2;2;2;2;1;1;2;1;1;2;2;2;2;2;1;1;1;2;2;2;2;2;2;1;3;2;2;3;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;2;2;2;1;1;1;1;1;1;0;0;0;0;0;2;1;1;1;1;2;2;0
77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3;3;3;2;3;1;2;1;1;0;2;2;0
78;1;1;0;2;1;2;1;1;0;0;0;2;0;0;0;0;2;0;1;1;1;2;0;2;0;1;0;1;1;0;0;0;0;1;0;1;1;0;1;0;2;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;3;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;3;1;1
79;2;2;1;2;2;2;2;1;1;0;0;3;0;0;0;0;1;1;2;1;1;2;1;1;1;1;1;2;1;2;0;1;2;2;1;0;0;0;0;0;0;1;0;3;2;2;2;3;3;2;1;1;1;0;0;0;0;2;0;0;1;1;1;0;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;2;2;2;0;0;0;0;0;1;1;3;1;2;3;3;3;2;2;2;1;0
81;1;1;0;1;2;1;3;0;0;0;0;3;0;0;0;0;3;3;2;0;3;3;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;1;2;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;2;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0
82;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0
83;2;2;1;2;1;3;1;1;1;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;0;0;0;0;0;0;0;0;2;2;2;1;1;1;1;1;1;1;0;0;0
84;1;1;1;1;1;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;1;0;0;1;3;3;2;3;2;1;1;1;1;0;1;1;1;1;1;1;1;1
85;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;1;1;3;1;1;1;1;1;0;0;0;0;2;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
86;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;3;3;2;2;1;3;1;1;1;1;0;2;2;2;1;1;3;3;3;2;2;2;2;0
87;1;1;1;1;1;2;1;0;0;0;0;1;1;0;0;0;1;2;2;1;2;1;1;2;1;1;1;1;0;0;0;1;1;1;0;1;1;0;0;0;0;1;1;1;0;1;1;1;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;0;0;0;1;1;0;1;0;1;0
88;0;0;0;0;3;3;3;0;3;0;0;1;0;0;0;0;0;0;2;0;2;2;2;1;0;3;3;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;2;0;0;1;1;0;0;2;0;0
90;2;2;3;2;3;2;3;2;1;1;1;3;3;2;2;3;3;2;3;1;3;2;2;2;2;2;2;3;2;2;1;1;1;1;1;2;2;1;1;2;2;3;1;3;2;3;3;3;3;2;2;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;0;0;0;0;0;2;2;2;2;2;1;1;0
91;0;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;1;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;1;3;1;3;2;1;2;1;1;1;1;1;1;1;1;2;1;2;3;2;3;2;2;1;1
92;1;1;1;2;1;3;1;1;0;0;0;1;1;1;0;2;2;2;2;1;3;3;0;0;0;1;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;3;3;3;3;3;2;3;2;2;2;3;0;3;3;2;2;2;3;3;3;3;3;3;3;1
93;1;0;0;1;0;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1;2;3;3;3;3;2;2;0
94;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2;2;3;2;2;1;1;1;1;2;0;0;2
95;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;1;1;0;1;0;0;0;0;0;0;1;2;0;0;1;2;3;2;1;1;2;0
97;0;0;0;1;3;2;3;3;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;1;2;1;1;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;3;3;3;3;1;3;1;0;1;3;0;1;0;0;0;0;0;1;1;0;3;0;0;0;2
98;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;2;1;1;3;2;2;2;2;1;1;1;3;1;0;3;1;1;1;1;2;0;1;0;2;2;3;1;2;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0
99;1;1;0;2;0;0;1;2;0;0;0;0;0;0;0;1;2;1;0;2;1;1;0;1;2;0;1;2;0;0;0;0;0;0;0;1;2;1;1;1;1;1;0;0;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;2;2;2;2;2;1;1;2;2;2;2;1;0
100;1;1;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;3;2;1;1;1;1;1;2;1;1;1;1;1;2;3;1;3;2;3;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
101;2;2;1;2;2;1;2;1;0;0;0;2;1;0;0;0;2;2;2;0;2;1;1;1;2;1;1;2;1;1;0;0;0;0;1;0;0;0;1;1;1;2;2;2;1;2;2;1;1;1;1;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;0;0;0;0;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;2;2;2;2;2;2;2;0;0;1;0;0;0;0;1;0;0;1;1;2;1;2;1;1;0
104;2;1;0;3;1;1;1;2;1;0;0;1;0;0;0;0;1;0;1;0;1;1;1;1;2;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;2;1;2;2;2;1;0;2;2;2;1;1;1;0;2;2;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;2;2;1;2;2;2;2;2;1;0;0;2;1;1;0;1;2;2;1;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;1;1;1;2;1;1;1;1;1;1;0;2;0;1;1;1;1;2;2;1;0
106;3;3;2;3;3;2;2;1;0;0;0;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;2;1;1;1;1;2;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;1;0;0;1;3;3;3;0;3;1;1;0;1;0;1;0;3;1;3;0;3;3;3;3;1;1;3;3;3;1;1;3;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;0;3;3;1;1;2;3;1;3;1;3;3;0;0;0;0;0;0;3;3;3;0;1;1;0
108;1;2;1;2;1;2;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;2;1;1;1;2;2;2;1;1;1;1;1;0;0;1;1;2;1;1;2;3;1;1;1;2;3;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
109;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;1;1;1;1;0;2;3;2;2;2;2;3;0
110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;1;1;1;2;3;3;3;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;1;0;0;1;2;1;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;3;3;3;3;3;3;3;2;2;3;2;1;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
113;1;1;0;1;2;1;1;1;3;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2;1;1;1;1;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0
114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;3;1;2;1;1;0
115;2;2;1;2;2;0;2;0;0;0;0;2;2;2;2;2;2;2;1;0;2;2;2;2;2;0;0;1;1;1;0;1;1;1;1;2;1;0;1;1;1;1;1;2;1;2;2;2;0;0;2;1;0;2;0;1;1;1;1;0;1;2;1;1;1;1;1;2;2;2;2;2;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0
116;2;0;0;1;1;2;1;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;2;2;2;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
117;1;0;0;1;3;3;1;0;3;0;1;1;1;1;0;0;2;1;2;2;2;3;2;1;1;1;2;2;1;1;1;0;0;1;1;1;1;0;1;0;1;0;0;2;2;2;2;1;1;1;1;2;1;1;0;1;0;1;1;1;1;1;1;1;1;2;3;3;2;2;2;1;1;1;1;0;1;1;0;1;0;1;1;1;2;1;2;1;1
118;1;0;0;1;2;2;2;1;3;0;0;1;1;1;0;0;2;1;1;1;2;2;1;1;1;1;1;2;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;2;2;2;2;2;2;1;1;1;1;1;0;1;1;1;1;1;0;0;1;1;1;1;0
119;0;0;0;0;1;3;1;0;1;0;0;0;0;0;0;0;1;0;1;0;2;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0
120;0;0;1;1;0;0;2;1;0;0;0;1;0;0;0;0;3;2;2;1;3;3;2;2;2;3;3;3;2;2;0;0;0;0;0;2;2;2;2;1;2;2;1;2;2;0;3;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;2;2;3;3;3;2;1;0;0;0;0;1;1;1;1;1;1;2;1;1;1;1;1;0
121;1;1;0;1;1;2;1;1;1;0;0;1;0;0;0;0;1;0;1;2;1;1;0;1;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;3;2;2;3;3;2;2;2;2;2;1;1;1;1;0;1;1;1;2;1;2;3;2;2;1;2;0;0
122;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;2;2;2;1;2;0;2;0;0;0;0;0;1;1;0;1;1;2;2;1;1;1;2;1;0
123;1;1;1;1;1;1;2;1;0;0;0;2;1;1;0;0;2;1;2;2;2;2;2;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
124;2;2;1;2;2;2;2;3;0;0;0;1;1;0;1;1;3;3;3;2;2;3;3;3;2;1;2;2;1;1;0;0;0;0;0;1;2;1;1;1;2;2;1;2;1;2;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0
125;0;0;0;0;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;3;3;3;3;2;2;2;3;1;1;1;1;1;2;2;2;3;2;2;2;3;2;3;3;2;0
